time,open,high,low,close,tick_volume,spread,real_volume,time_iso
31708800,0.5369,0.5371,0.5365,0.5371,5,50,0,1971-01-03
32313600,0.5371,0.5376,0.5371,0.5376,5,50,0,1971-01-10
32918400,0.5379,0.5386,0.5377,0.5386,5,50,0,1971-01-17
33523200,0.5385,0.5388,0.5385,0.5387,5,50,0,1971-01-24
34128000,0.5386,0.5389,0.5384,0.5384,5,50,0,1971-01-31
34732800,0.5385,0.5386,0.5381,0.5381,4,50,0,1971-02-07
35337600,0.5385,0.5387,0.5384,0.5385,4,50,0,1971-02-14
35942400,0.5388,0.5389,0.5379,0.5379,5,50,0,1971-02-21
36547200,0.5383,0.539,0.5382,0.5386,5,50,0,1971-02-28
37152000,0.5385,0.5388,0.5384,0.5385,5,50,0,1971-03-07
37756800,0.5384,0.5387,0.5384,0.5387,5,50,0,1971-03-14
38361600,0.5387,0.5387,0.5386,0.5387,5,50,0,1971-03-21
38966400,0.5384,0.5389,0.5384,0.5389,5,50,0,1971-03-28
39571200,0.5385,0.5387,0.5385,0.5387,5,50,0,1971-04-04
40176000,0.5381,0.5382,0.5377,0.5377,5,50,0,1971-04-11
40780800,0.5367,0.5381,0.5367,0.5373,5,50,0,1971-04-18
41385600,0.5375,0.5384,0.5375,0.5384,5,50,0,1971-04-25
41990400,0.5385,0.5479,0.5385,0.5479,5,50,0,1971-05-02
42595200,0.5525,0.5525,0.548,0.5515,5,50,0,1971-05-09
43200000,0.5513,0.5586,0.5513,0.5586,5,50,0,1971-05-16
43804800,0.5573,0.5573,0.5514,0.5514,5,50,0,1971-05-23
44409600,0.5478,0.5545,0.5478,0.5545,4,50,0,1971-05-30
45014400,0.5554,0.5577,0.5554,0.5577,5,50,0,1971-06-06
45619200,0.5577,0.5582,0.5577,0.5579,5,50,0,1971-06-13
46224000,0.558,0.5598,0.558,0.5586,5,50,0,1971-06-20
46828800,0.5582,0.5592,0.5582,0.5587,5,50,0,1971-06-27
47433600,0.5587,0.5588,0.5586,0.5588,4,50,0,1971-07-04
48038400,0.5586,0.5628,0.5586,0.5628,5,50,0,1971-07-11
48643200,0.5632,0.5646,0.5628,0.5646,5,50,0,1971-07-18
49248000,0.5644,0.5651,0.5644,0.5651,5,50,0,1971-07-25
49852800,0.5649,0.5676,0.5649,0.5676,5,50,0,1971-08-01
50457600,0.5737,0.5775,0.5736,0.5773,5,50,0,1971-08-08
51667200,0.5708,0.5773,0.5708,0.5751,5,50,0,1971-08-22
52272000,0.575,0.5772,0.575,0.5772,5,50,0,1971-08-29
52876800,0.5769,0.5777,0.5764,0.5777,4,50,0,1971-09-05
53481600,0.5778,0.5811,0.5778,0.5811,5,50,0,1971-09-12
54086400,0.5863,0.5907,0.5842,0.5901,5,50,0,1971-09-19
54691200,0.5903,0.5904,0.5889,0.5889,5,50,0,1971-09-26
55296000,0.5882,0.5901,0.5882,0.5899,5,50,0,1971-10-03
55900800,0.5883,0.5883,0.5859,0.5863,4,50,0,1971-10-10
56505600,0.5886,0.5895,0.5865,0.5865,5,50,0,1971-10-17
57110400,0.587,0.587,0.5858,0.5858,4,50,0,1971-10-24
57715200,0.5865,0.5865,0.5858,0.5859,4,50,0,1971-10-31
58320000,0.5852,0.5855,0.5841,0.5855,5,50,0,1971-11-07
58924800,0.5857,0.5865,0.5849,0.5865,5,50,0,1971-11-14
59529600,0.5874,0.5912,0.5874,0.5912,4,50,0,1971-11-21
60134400,0.5908,0.5981,0.5904,0.5981,5,50,0,1971-11-28
60739200,0.6016,0.6016,0.5967,0.5967,5,50,0,1971-12-05
61344000,0.5971,0.6011,0.5971,0.6,5,50,0,1971-12-12
61948800,0.6001,0.6001,0.5985,0.5985,4,50,0,1971-12-19
62553600,0.5971,0.5982,0.5961,0.5981,5,50,0,1971-12-26
63158400,0.5977,0.5994,0.5976,0.5994,5,50,0,1972-01-02
63763200,0.6012,0.6086,0.6012,0.6086,5,50,0,1972-01-09
64368000,0.6095,0.6095,0.6073,0.6075,5,50,0,1972-01-16
64972800,0.6093,0.6098,0.609,0.609,5,50,0,1972-01-23
65577600,0.6092,0.6143,0.6092,0.6107,5,50,0,1972-01-30
66182400,0.6111,0.6134,0.6111,0.6131,5,50,0,1972-02-06
66787200,0.6139,0.6197,0.6139,0.6164,5,50,0,1972-02-13
67392000,0.6156,0.6164,0.6124,0.6124,4,50,0,1972-02-20
67996800,0.6134,0.6149,0.6134,0.6143,5,50,0,1972-02-27
68601600,0.616,0.6196,0.616,0.6192,5,50,0,1972-03-05
69206400,0.6189,0.6189,0.5965,0.5965,5,50,0,1972-03-12
69811200,0.6163,0.617,0.6146,0.6146,5,50,0,1972-03-19
70416000,0.6165,0.6174,0.6165,0.6174,5,50,0,1972-03-26
71020800,0.6175,0.6175,0.6163,0.6163,5,50,0,1972-04-02
71625600,0.6163,0.6168,0.6155,0.6155,5,50,0,1972-04-09
72230400,0.6155,0.6155,0.612,0.6136,5,50,0,1972-04-16
72835200,0.6158,0.6158,0.615,0.615,5,50,0,1972-04-23
73440000,0.6151,0.6154,0.6145,0.6151,5,50,0,1972-04-30
74044800,0.6148,0.6163,0.6148,0.6153,5,50,0,1972-05-07
74649600,0.6145,0.6151,0.6139,0.6147,5,50,0,1972-05-14
75254400,0.6151,0.6156,0.6147,0.6153,55,50,0,1972-05-21
75859200,0.6159,0.6159,0.6155,0.6155,34,50,0,1972-05-28
76464000,0.6155,0.6165,0.6154,0.6163,135,50,0,1972-06-04
77068800,0.6175,0.6186,0.6172,0.6173,225,50,0,1972-06-11
77673600,0.6166,0.6221,0.6128,0.6212,515,50,0,1972-06-18
78278400,0.6214,0.6219,0.617,0.6206,745,50,0,1972-06-25
78883200,0.6208,0.6209,0.6198,0.6206,114,50,0,1972-07-02
79488000,0.6201,0.6213,0.6197,0.6207,265,50,0,1972-07-09
80092800,0.621,0.621,0.6166,0.6172,255,50,0,1972-07-16
80697600,0.6166,0.6167,0.6155,0.6159,205,50,0,1972-07-23
81302400,0.6159,0.6159,0.6147,0.6154,25,50,0,1972-07-30
