time,open,high,low,close,tick_volume,spread,real_volume,time_iso
31795200,357.73,357.73,357.73,357.73,1,50,0,1971-01-04
31881600,357.81,357.81,357.81,357.81,1,50,0,1971-01-05
31968000,357.86,357.86,357.86,357.86,1,50,0,1971-01-06
32054400,357.87,357.87,357.87,357.87,1,50,0,1971-01-07
32140800,357.82,357.82,357.82,357.82,1,50,0,1971-01-08
32400000,357.95,357.95,357.95,357.95,1,50,0,1971-01-11
32486400,358.06,358.06,358.06,358.06,1,50,0,1971-01-12
32572800,358.44,358.44,358.44,358.44,1,50,0,1971-01-13
32659200,358.4,358.4,358.4,358.4,1,50,0,1971-01-14
32745600,358.4,358.4,358.4,358.4,1,50,0,1971-01-15
33004800,358.29,358.29,358.29,358.29,1,50,0,1971-01-18
33091200,358.35,358.35,358.35,358.35,1,50,0,1971-01-19
33177600,358.4,358.4,358.4,358.4,1,50,0,1971-01-20
33264000,358.27,358.27,358.27,358.27,1,50,0,1971-01-21
33350400,357.9,357.9,357.9,357.9,1,50,0,1971-01-22
33609600,357.73,357.73,357.73,357.73,1,50,0,1971-01-25
33696000,357.78,357.78,357.78,357.78,1,50,0,1971-01-26
33782400,357.79,357.79,357.79,357.79,1,50,0,1971-01-27
33868800,357.83,357.83,357.83,357.83,1,50,0,1971-01-28
33955200,357.72,357.72,357.72,357.72,1,50,0,1971-01-29
34214400,357.67,357.67,357.67,357.67,1,50,0,1971-02-01
34300800,357.55,357.55,357.55,357.55,1,50,0,1971-02-02
34387200,357.54,357.54,357.54,357.54,1,50,0,1971-02-03
34473600,357.51,357.51,357.51,357.51,1,50,0,1971-02-04
34560000,357.53,357.53,357.53,357.53,1,50,0,1971-02-05
34819200,357.49,357.49,357.49,357.49,1,50,0,1971-02-08
34905600,357.5,357.5,357.5,357.5,1,50,0,1971-02-09
34992000,357.5,357.5,357.5,357.5,1,50,0,1971-02-10
35078400,357.5,357.5,357.5,357.5,1,50,0,1971-02-11
35510400,357.53,357.53,357.53,357.53,1,50,0,1971-02-16
35596800,357.53,357.53,357.53,357.53,1,50,0,1971-02-17
35683200,357.53,357.53,357.53,357.53,1,50,0,1971-02-18
35769600,357.56,357.56,357.56,357.56,1,50,0,1971-02-19
36028800,357.6,357.6,357.6,357.6,1,50,0,1971-02-22
36115200,357.55,357.55,357.55,357.55,1,50,0,1971-02-23
36201600,357.6,357.6,357.6,357.6,1,50,0,1971-02-24
36288000,357.56,357.56,357.56,357.56,1,50,0,1971-02-25
36374400,357.56,357.56,357.56,357.56,1,50,0,1971-02-26
36633600,357.63,357.63,357.63,357.63,1,50,0,1971-03-01
36720000,357.56,357.56,357.56,357.56,1,50,0,1971-03-02
36806400,357.49,357.49,357.49,357.49,1,50,0,1971-03-03
36892800,357.45,357.45,357.45,357.45,1,50,0,1971-03-04
36979200,357.59,357.59,357.59,357.59,1,50,0,1971-03-05
37238400,357.55,357.55,357.55,357.55,1,50,0,1971-03-08
37324800,357.46,357.46,357.46,357.46,1,50,0,1971-03-09
37411200,357.59,357.59,357.59,357.59,1,50,0,1971-03-10
37497600,357.56,357.56,357.56,357.56,1,50,0,1971-03-11
37584000,357.58,357.58,357.58,357.58,1,50,0,1971-03-12
37843200,357.54,357.54,357.54,357.54,1,50,0,1971-03-15
37929600,357.49,357.49,357.49,357.49,1,50,0,1971-03-16
38016000,357.53,357.53,357.53,357.53,1,50,0,1971-03-17
38102400,357.56,357.56,357.56,357.56,1,50,0,1971-03-18
38188800,357.56,357.56,357.56,357.56,1,50,0,1971-03-19
38448000,357.44,357.44,357.44,357.44,1,50,0,1971-03-22
38534400,357.53,357.53,357.53,357.53,1,50,0,1971-03-23
38620800,357.53,357.53,357.53,357.53,1,50,0,1971-03-24
38707200,357.47,357.47,357.47,357.47,1,50,0,1971-03-25
38793600,357.47,357.47,357.47,357.47,1,50,0,1971-03-26
39052800,357.44,357.44,357.44,357.44,1,50,0,1971-03-29
39139200,357.49,357.49,357.49,357.49,1,50,0,1971-03-30
39225600,357.42,357.42,357.42,357.42,1,50,0,1971-03-31
39312000,357.49,357.49,357.49,357.49,1,50,0,1971-04-01
39398400,357.53,357.53,357.53,357.53,1,50,0,1971-04-02
39657600,357.5,357.5,357.5,357.5,1,50,0,1971-04-05
39744000,357.46,357.46,357.46,357.46,1,50,0,1971-04-06
39830400,357.55,357.55,357.55,357.55,1,50,0,1971-04-07
39916800,357.55,357.55,357.55,357.55,1,50,0,1971-04-08
40003200,357.5,357.5,357.5,357.5,1,50,0,1971-04-09
40262400,357.5,357.5,357.5,357.5,1,50,0,1971-04-12
40348800,357.62,357.62,357.62,357.62,1,50,0,1971-04-13
40435200,357.58,357.58,357.58,357.58,1,50,0,1971-04-14
40521600,357.5,357.5,357.5,357.5,1,50,0,1971-04-15
40608000,357.54,357.54,357.54,357.54,1,50,0,1971-04-16
40867200,357.49,357.49,357.49,357.49,1,50,0,1971-04-19
